Sum of salary_diff,Column Labels,,,,,,,,,,,,,,,,,
Row Labels,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Grand Total
MON,0,2165167,3511000,13278000,-11051000,,,,,,,,,,,,,7903167
ANA,0,-3929000,14186500,17310000,21503000,,,,,,,,,,,,,49070500
ARI,0,4055166,17737000,-22162999,-10876250,-7451584,-2644940,-7616680,14135166,6912954,-12397500,-7078333,20165000,16327167,7729500,-36027500,25605063,6411230
ATL,0,7398330,934201,13373300,-16061167,-3725198,3699574,-2866043,15074850,-5639517,-12302500,2579026,-4172750,5041583,9737475,-25827750,-3282959,-16039545
BAL,0,-13847895,-7106053,13384013,-22254167,22291000,-1328751,20589226,-25978562,-94580,14510834,3691538,-7950039,7039334,19022667,11628833,46818623,80416021
BOS,0,32095500,-1669773,-8419560,27352000,-3793375,-3405301,22926390,-9636179,-12044036,41101334,-684858,11424142,-21656617,-12510071,42083471,7442361,110605428
CHA,0,34520167,-8600834,-6042833,14202500,9965500,27572667,5921166,12517499,-25120832,9461500,22259000,-30869500,23145777,-38234777,30543200,624967,81865167
CHN,0,4176500,10975000,4177500,10691667,-3527067,7391566,5245833,18675501,16463167,11800000,-21561671,-36850296,12370693,-35045226,50356810,38188358,93528335
CIN,0,2118800,-3935610,14305277,-12740417,15277333,-983064,7615461,5592715,-559195,-1796958,4185592,6256482,24200846,1813038,4854786,-24132227,42072859
CLE,0,17271230,-14242552,-30324615,-14265534,7183200,14529000,5641767,17296799,2609100,-20375200,-12427400,29653734,-2658500,6380099,5511867,-13351866,-1568871
COL,0,10430144,-14690291,10328624,-1734500,-17606167,-6606000,12808000,14614500,6545500,9026000,3921071,-10078500,-3660500,20994429,285100,16956471,51533881
DET,0,-4849000,1631833,-5880000,-2336000,22260000,13520866,12187503,42884827,-22600051,7779783,-17164697,26599769,13689500,6866000,19429250,22591731,136611314
FLO,0,15890500,6217417,7470083,-7306958,18265792,-45737334,15835500,-8695500,15022500,20195719,-85719,,,,,,37072000
HOU,0,9323556,2835750,7591583,4357000,1382000,11915435,-935435,1171414,14066000,-10640914,-21661500,-10043000,-42760300,17225600,37139900,22637500,43604589
KCA,0,11989500,11834500,-6739000,7091000,-10728000,10413000,19822500,-8871000,12273833,885877,-35693210,25204225,19175500,-5497650,37512950,19380100,108054125
LAA,,,,,,0,8604178,5779333,9965000,-5507333,-8745134,33579300,15942000,-30310416,-2186500,-1982835,17245918,42383511
LAN,0,21181667,-14255000,10721667,-12670619,-9863001,15408187,10007337,10134012,-18173944,-5056576,8830983,-9045424,128218621,-6347596,-1222600,5496380,133364094
MIA,,,,,,,,,,,,,0,-84476100,8235000,26219600,9257702,-40763798
MIL,0,7381500,6401000,-9660833,-13098500,12406333,17633500,13418167,9950999,-754997,925776,4389055,12156611,-20706911,24269967,-367000,-32074763,32269904
MIN,0,7610500,16295000,15080000,-1920000,2601000,7210006,8043494,-14506734,8366500,32259900,15177834,-18652000,-18747500,8425000,23992500,-5171800,86063700
NYA,0,19948883,13641440,26821231,31444136,24112867,-13643738,-5404034,18637744,-6447600,4884200,-4058361,-5752739,35456597,-34434979,15208050,10245835,130659532
NYN,0,13664652,1459165,22242836,-20215459,4644851,-220858,14146700,22561713,11580611,-14951045,-15575633,-25493326,-43905637,36108644,11209693,37122446,54379353
OAK,0,1839417,6193417,10256667,9164833,-3999905,6817317,17123861,-31399814,13942874,-6655100,11281600,-11164000,4760000,12275900,6645101,7752733,54834901
PHI,0,-5644167,16291166,12825001,22139167,2602833,-7248667,1154880,8451667,15124166,28924333,31048000,1562559,-4675749,11081778,-69251967,-52713000,11672000
PIT,0,28832499,-15437234,12488830,-22584500,5905071,8584750,-8179917,10151950,3217,-13750000,10104000,17904999,14110001,116000,11714499,14886334,74850499
SDN,0,-15638167,2242167,3785000,10174833,7906000,6605308,-11785574,15567049,-30343916,-5534400,8069840,9375560,10340800,10100200,42755600,-17016486,46603814
SEA,0,15805834,5561834,6676499,-5443333,6238500,205499,18501000,11205649,-18762316,-12394166,-399400,-4132500,-7973057,18526057,29677600,13474639,76768339
SFN,0,9542341,15019668,4552332,-833001,8180334,-143081,162637,-13624556,6431950,15614883,19557000,-577650,22559651,23329833,1191333,7552278,118515952
SLN,0,17084470,-3877458,9125791,-558333,8878500,-3215462,1395452,9337626,-11096040,5012342,11892821,4867290,-18040752,28432890,-1451500,23812000,81599637
TBA,0,-5785129,-22600000,-14750000,9926667,122400,5238900,-10794467,19697097,19492437,8610437,-30869900,23119929,-11218228,19733828,-8167867,-7423923,-5667819
TEX,0,17837579,16892622,-2034455,-48441250,798583,12379662,90013,-606349,466472,-12928254,37048720,28211710,-7988374,-267541,31487730,32295934,105242802
TOR,0,32057667,-31666,-25595333,-1252000,-4297500,25645500,10577800,15851100,-17255600,-18304300,333800,12441400,51278900,-16368000,3072300,25709300,93863368
WAS,,,,,,0,14561500,-26195500,18013500,4967000,1472000,2456928,16998215,32848127,18280410,23603792,-13934826,93071146
Grand Total,0,294528211,63414209,104184606,-57596185,116030300,132759219,155216370,208169683,-20131676,56632871,63145426,87101901,101784456,157791975,321824946,235994823,2020851135
